City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Toronto,Burrito Guyz (Newcastle),2025-05-03T14:28:32.000Z,2025-05-03T15:04:59.000Z,completed,Burritos,2,"Pinto Beans, Cilantro Lime Sour Cream, Diced Jalapeño, Burrito Sauce, Pickled Onion, Diced Tomato, Red Onion, Cholula® Chili Garlic Hot Sauce, White Tortilla, Cheese, Lettuce, Mango Salsa (NEW), Small Size (10''), Mexican Rice",0.0,"",22.98,34.97,CAD
Toronto,Burrito Guyz (Newcastle),2025-05-03T14:28:32.000Z,2025-05-03T15:04:59.000Z,completed,Jarritos,1,Mexican Cola,0.0,"",4.49,34.97,CAD
Toronto,Burrito Guyz (Newcastle),2025-05-03T14:28:32.000Z,2025-05-03T15:04:59.000Z,completed,Burritos,2,Tequila-Lime Chicken,4.99,"",22.98,34.97,CAD
Toronto,Burrito Guyz (Newcastle),2025-04-25T20:03:57.000Z,2025-04-25T20:46:56.000Z,completed,Jarritos,1,Mexican Cola,0.0,"",4.49,34.97,CAD
Toronto,Burrito Guyz (Newcastle),2025-04-25T20:03:57.000Z,2025-04-25T20:46:56.000Z,completed,Burritos,2,"Diced Tomato, Red Onion, Cholula® Chili Garlic Hot Sauce, White Tortilla, Pinto Beans, Cheese, Burrito Sauce, Sour Cream, Mango Salsa (NEW), Lettuce, Pickled Onion, Small Size (10''), Mexican Rice",0.0,"",22.98,34.97,CAD
Toronto,Burrito Guyz (Newcastle),2025-04-25T20:03:57.000Z,2025-04-25T20:46:56.000Z,completed,Burritos,2,Tequila-Lime Chicken,4.99,"",22.98,34.97,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2025-04-24T17:53:39.000Z,2025-04-24T18:18:22.000Z,completed,Create Your Own Pizza,2,"Small (10"") Original Create Your Own, Original Pizza Sauce, Regular Sauce, Normal Cheese, Pepperoni, Normal Bake, Normal Cut",0.0,"",27.68,18.52,CAD
Toronto,Firehouse Subs (Bowmanville),2025-04-17T18:40:03.000Z,2025-04-17T18:59:25.000Z,completed,Hook & Ladder®,2,"Ham, Onion, Side Pickle, Tomato, Turkey, Medium (7-8 inch), Monterey Jack, White Bread, Lettuce, Deli Mustard, Mayo",0.0,"",32.58,21.81,CAD
Toronto,BarBurrito: Bowmanville,2025-04-14T15:17:13.000Z,2025-04-14T15:35:44.000Z,completed,Burrito Special,2,Mild Chicken,2.4,"",21.38,26.34,CAD
Toronto,BarBurrito: Bowmanville,2025-04-14T15:17:13.000Z,2025-04-14T15:35:44.000Z,completed,Bottled Pop,1,Coke bottle,0.0,"",3.95,26.34,CAD
Toronto,BarBurrito: Bowmanville,2025-04-14T15:17:13.000Z,2025-04-14T15:35:44.000Z,completed,Burrito Special,2,"Burrito Sauce (Mild) (44 Cals), Pickled Onions, Red Onion (5 Cals), Small White, Mexican Rice (130 - 260 Cals), Jalapeno Salsa, Lettuce (2 Cals), Pinto Beans (130 - 250 Cals), Cheese (90 Cals), Sour Cream (37 Cals), Tomatoes (5 Cals)",0.0,"",21.38,26.34,CAD
Toronto,BarBurrito: Bowmanville,2025-04-14T15:17:13.000Z,2025-04-14T15:35:44.000Z,completed,Side Sauce,1,"Signature Hot Sauce [Very Spicy, +5 Cals]",0.0,"",1.2,26.34,CAD
Toronto,Burger Factory (Courtice),2025-04-06T12:08:55.000Z,2025-04-06T12:47:55.000Z,completed,Strawberry Milk Shake,1,"",,"",7.99,41.78,CAD
Toronto,Burger Factory (Courtice),2025-04-06T12:08:55.000Z,2025-04-06T12:47:55.000Z,completed,Cheeseburger Combo,2,"Pickles, Chipotle, Onions, Factory Sauce, Fresh Cut Fries, Lettuce, Tomatoes, Mayo, Water",0.0,"",47.98,41.78,CAD
Toronto,Burrito Guyz (Newcastle),2025-04-05T14:23:00.000Z,2025-04-05T14:57:15.000Z,completed,Burritos,2,Jarritos Mexican cola,4.49,"",22.98,40.05,CAD
Toronto,Burrito Guyz (Newcastle),2025-04-05T14:23:00.000Z,2025-04-05T14:57:15.000Z,completed,Burritos,2,Tequila-Lime Chicken,4.99,"",22.98,40.05,CAD
Toronto,Burrito Guyz (Newcastle),2025-04-05T14:23:00.000Z,2025-04-05T14:57:15.000Z,completed,Burritos,2,"Diced Tomato, Red Onion, White Tortilla, Pinto Beans, Cheese, Cholula® Green Pepper Hot Sauce, Medium Salsa, Sour Cream, Burrito Sauce, Lettuce, Tex Mex Seasoning, Small Size (10''), Mexican Rice",0.0,"",22.98,40.05,CAD
Toronto,Kajun Chicken + Seafood (Oshawa),2025-03-24T20:51:37.000Z,2025-03-24T21:42:08.000Z,completed,Triple Crunch Tenders,2,"Spicy Mayo, Spicy",0.0,"",28.58,12.21,CAD
Toronto,Starbucks (2348 Highway 2),2025-03-19T12:02:18.000Z,2025-03-19T12:23:27.000Z,completed,Caffè Latte,1,Tall Caffè Latte,0.1,"",5.45,18.36,CAD
Toronto,Starbucks (2348 Highway 2),2025-03-19T12:02:18.000Z,2025-03-19T12:23:27.000Z,completed,Caffè Latte,1,"Signature Espresso, Whole Milk, Included Shots, Sugar in the Raw®, Steamed Hot, Foam, 2% Milk",0.0,"",5.45,18.36,CAD
Toronto,Starbucks (2348 Highway 2),2025-03-19T12:02:18.000Z,2025-03-19T12:23:27.000Z,completed,"Turkey, Provolone & Pesto on Ciabatta",1,"",,"",9.45,18.36,CAD
Toronto,Burrito Guyz (Newcastle),2025-03-10T12:51:52.000Z,2025-03-10T13:22:58.000Z,completed,Burritos,2,Spicy Chipotle Chicken,3.99,"",22.98,32.71,CAD
Toronto,Burrito Guyz (Newcastle),2025-03-10T12:51:52.000Z,2025-03-10T13:22:58.000Z,completed,Burritos,2,"Pinto Beans, Medium Salsa, Burrito Sauce, Sour Cream, Pickled Onion, Diced Tomato, Red Onion, Cholula Chili Garlic Hot Sauce, White Tortilla, Cheese, Lettuce, Tex Mex Seasoning, Small Size (10''), Mexican Rice",0.0,"",22.98,32.71,CAD
Toronto,Burrito Guyz (Newcastle),2025-03-10T12:51:52.000Z,2025-03-10T13:22:58.000Z,completed,Jarritos,1,Mexican Cola,0.0,"",4.49,32.71,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2025-03-09T12:41:59.000Z,2025-03-09T13:17:09.000Z,completed,Create Your Own Pizza,2,"Small (10"") Original Create Your Own, Original Pizza Sauce, Regular Sauce, Normal Cheese, Pepperoni, Normal Bake, Normal Cut",0.0,"",27.68,18.52,CAD
Toronto,Burger Factory (Courtice),2025-03-08T19:51:31.000Z,2025-03-08T20:27:32.000Z,completed,Cheeseburger Combo,1,"Pickles, Onions, Factory Sauce, Fresh Cut Fries, Lettuce, Tomatoes, Mayo",0.0,"",17.99,31.47,CAD
Toronto,Burger Factory (Courtice),2025-03-08T19:51:31.000Z,2025-03-08T20:27:32.000Z,completed,Cheeseburger Combo,1,Strawberry Milk Shake,5.99,"",17.99,31.47,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2025-02-28T14:52:58.000Z,2025-02-28T15:14:19.000Z,completed,Create Your Own Pizza,2,"Small (10"") Original Create Your Own, Original Pizza Sauce, Regular Sauce, Normal Cheese, Pepperoni, Normal Cut, Normal Bake",0.0,"",27.68,17.9,CAD
Toronto,Burger Factory (Courtice),2025-02-27T21:34:35.000Z,2025-02-27T22:12:11.000Z,completed,Cheeseburger Combo,1,Strawberry Milk Shake,5.99,"",17.99,30.93,CAD
Toronto,Burger Factory (Courtice),2025-02-27T21:34:35.000Z,2025-02-27T22:12:11.000Z,completed,Cheeseburger Combo,1,"Pickles, Onions, Factory Sauce, Fresh Cut Fries, Lettuce, Tomatoes",0.0,"",17.99,30.93,CAD
Toronto,Starbucks (2348 Highway 2),2025-02-26T11:13:11.000Z,2025-02-26T11:29:15.000Z,completed,Caffè Latte,1,Grande Caffè Latte,0.5,"",5.45,23.57,CAD
Toronto,Starbucks (2348 Highway 2),2025-02-26T11:13:11.000Z,2025-02-26T11:29:15.000Z,completed,Matcha Tea Latte,1,"Included Classic Syrup, Whole Milk, Steamed Hot, Included Matcha Powder, Foam, 2% Milk",0.0,"",6.55,23.57,CAD
Toronto,Starbucks (2348 Highway 2),2025-02-26T11:13:11.000Z,2025-02-26T11:29:15.000Z,completed,Everything Croissant & Roasted Ham Sandwich,1,"",,"",7.15,23.57,CAD
Toronto,Starbucks (2348 Highway 2),2025-02-26T11:13:11.000Z,2025-02-26T11:29:15.000Z,completed,Matcha Tea Latte,1,Matcha Green Tea Latte Tall,0.2,"",6.55,23.57,CAD
Toronto,Starbucks (2348 Highway 2),2025-02-26T11:13:11.000Z,2025-02-26T11:29:15.000Z,completed,Caffè Latte,1,"Signature Espresso, Whole Milk, Included Shots, Sugar in the Raw®, Steamed Hot, Foam, 2% Milk",0.0,"",5.45,23.57,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2025-02-15T18:55:27.000Z,2025-02-15T19:43:49.000Z,completed,Create Your Own Pizza,2,"Small (10"") Original Create Your Own, Original Pizza Sauce, Regular Sauce, Normal Cheese, Pepperoni, Normal Cut, Normal Bake",0.0,"",27.68,17.88,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2025-02-15T18:55:27.000Z,2025-02-15T19:43:49.000Z,completed,Special Garlic Sauce,1,Garlic Dipping Sauce,0.0,"",1.69,17.88,CAD
Toronto,Pho surpryz Viet Thai Cuisines,2025-01-27T15:16:01.000Z,2025-01-27T16:14:02.000Z,completed,Broth (Pho) - Beef Base,1,"",,"",6.0,30.67,CAD
Toronto,Pho surpryz Viet Thai Cuisines,2025-01-27T15:16:01.000Z,2025-01-27T16:14:02.000Z,completed,P3 - Rare Beef Pho,1,"",,"",17.0,30.67,CAD
Toronto,Goodfella's Pizzeria,2024-12-07T22:55:07.000Z,2024-12-07T23:44:08.000Z,completed,Student Deal,1,"Creamy Garlic, Pepperoni, Coke",0.0,"",16.99,21.59,CAD
